date;value
01/01/2007;22841
01/02/2007;20751
01/03/2007;25554
01/04/2007;20239
01/05/2007;24889
01/06/2007;20205
01/07/2007;25718
01/08/2007;530
01/09/2007;20441
01/10/2007;25713
01/11/2007;21274
01/12/2007;19167
01/01/2008;21631
01/02/2008;19862
01/03/2008;18741
01/04/2008;20743
01/05/2008;19649
01/06/2008;21011
01/07/2008;27840
01/08/2008;7592
01/09/2008;17557
01/10/2008;23818
01/11/2008;21588
01/12/2008;27043
01/01/2009;21131
01/02/2009;19598
01/03/2009;23336
01/04/2009;19493
01/05/2009;23786
01/06/2009;19012
01/07/2009;21145
01/08/2009;15645
01/09/2009;15372
01/10/2009;31758
01/11/2009;36263
01/12/2009;36301
01/01/2010;20990
01/02/2010;22191
01/03/2010;26333
01/04/2010;23744
01/05/2010;22899
01/06/2010;22327
01/07/2010;23264
01/08/2010;12785
01/09/2010;21104
01/10/2010;22028
01/11/2010;22374
01/12/2010;27170
01/01/2011;23977
01/02/2011;23021
01/03/2011;24709
01/04/2011;28188
01/05/2011;39198
01/06/2011;28795
01/07/2011;23236
01/08/2011;12991
01/09/2011;24587
01/10/2011;20614
01/11/2011;22441
01/12/2011;17959
01/01/2012;28805
01/02/2012;21168
01/03/2012;27556
01/04/2012;22050
01/05/2012;28024
01/06/2012;25555
01/07/2012;22554
01/08/2012;13805
01/09/2012;22189
01/10/2012;23598
01/11/2012;27500
01/12/2012;22740
01/01/2013;21818
01/02/2013;23342
01/03/2013;23226
01/04/2013;22041
01/05/2013;24588
01/06/2013;17344
01/07/2013;24101
01/08/2013;36167
01/09/2013;7436
01/10/2013;11445
01/11/2013;14276
01/12/2013;15064
01/01/2014;14309
01/02/2014;14932
01/03/2014;16539
01/04/2014;16083
01/05/2014;17533
01/06/2014;13966
01/07/2014;16355
01/08/2014;7976
01/09/2014;14210
01/10/2014;13086
01/11/2014;19611
01/12/2014;18186
01/01/2015;16109
01/02/2015;11817
01/03/2015;17151
01/04/2015;14208
01/05/2015;18980
01/06/2015;15284
01/07/2015;14375
01/08/2015;12238
01/09/2015;14869
01/10/2015;16978
01/11/2015;15563
01/12/2015;15408
01/01/2016;12581
01/02/2016;12474
01/03/2016;13958
01/04/2016;11887
01/05/2016;11961
01/06/2016;12248
01/07/2016;11201
01/08/2016;6369
01/09/2016;12411
01/10/2016;12228
01/11/2016;13832
01/12/2016;10566
01/01/2017;11564
01/02/2017;10587
01/03/2017;14744
01/04/2017;12967
01/05/2017;13255
01/06/2017;12294
01/07/2017;11048
01/08/2017;7312
01/09/2017;9789
01/10/2017;9520
01/11/2017;11632
01/12/2017;11129
